Movie,Year,Rating,Genre,EstBudgetUSD,GrossUSD
Guardians of the Galaxy,2014,8.1,Action,170000000,333176600
Erin Brockovich,2000,7.3,Drama,52000000,125548685
Superman,1978,7.3,Action,55000000,134218018
"Crazy, Stupid, Love",2011,7.4,Drama,50000000,84244877
Ant-Man,2015,7.4,Action,130000000,180191634
Drive,2011,7.8,Drama,15000000,35054909
Full Metal Jacket,1987,8.3,Drama,30000000,46357676
Spectre,2015,6.9,Action,245000000,200074175
John Wick,2014,7.2,Action,20000000,42996986
Schindler's List,1993,8.9,Drama,22000000,96045248
"The Lost World, Jurassic Park",1997,6.5,Action,73000000,229074524
Krampus,2015,6.4,Comedy,15000000,42592530
The Prestige,2006,8.5,Drama,40000000,53082743
Fifty Shades of Gray,2015,4.1,Drama,40000000,166147885
Thor,2011,7,Action,150000000,181015141
Oblivion,2013,7,Action,120000000,89021735
My Girl,1991,6.8,Drama,16500000,59847242
Stand By Me,1986,8.1,Drama,8000000,52287414
The Hangover,2009,7.8,Comedy,35000000,277313371
The Breakfast Club,1985,7.9,Drama,1000000,38100000
Black Swan,2009,8,Drama,13000000,106952327
Grown Ups 2,2013,5.4,Comedy,80000000,133668525
Star Wars: Episode I,1999,6.5,Action,115000000,474544677
Gladiator,2000,8.5,Action,103000000,187670866
The Walk,2015,7.4,Drama,35000000,10137502
Catch Me if You Can,2002,8,Drama,52000000,164435221
The Notebook,2004,7.9,Drama,29000000,81001787
Priates of the Carribean: On Stranger Tides,2011,6.7,Action,250000000,241063875
The Intern,2015,7.2,Comedy,35000000,75274748
American Hustle,2013,7.3,Drama,40000000,150117807
Pixels,2015,5.7,Comedy,88000000,78747585
Fast & Furious 6,2013,7.2,Action,160000000,238673370
The Mummy,1999,7,Action,80000000,155247825
The Perks of Being a Wallflower,2012,8,Drama,13000000,17738570
Taxi Drvier,1976,8.3,Drama,1300000,28262574
Trainspotting,1996,8.2,Drama,3500000,16501785
The Flinstones in Viva Rock Vegas,2000,3.6,Comedy,60000000,35231365
The Dark Knight,2008,9.8,Action,185000000,533316061
Dances with Wolves,1990,8,Drama,22000000,184208848
Independence Day,1996,6.9,Action,75000000,306124059
Captain America: The First Avenger,2011,6.8,Action,140000000,176636816
Galaxy Quest,1999,7.3,Comedy,45000000,71423726
Daredevil,2003,5.3,Action,78000000,102543519
The Dark Knight Rises,2012,8.5,Action,250000000,448130642
Green Lantern,2011,5.6,Action,200000000,116593191
Picth Perfect 2,2015,6.5,Comedy,29000000,183436380
Transformers,2007,7.1,Action,150000000,318759914
The Great Gatsby,2013,7.3,Drama,105000000,144812796
Hocus Pocus,1993,6.7,Comedy,28000000,39514713
Superbad,2007,7.6,Comedy,20000000,121463226
Addams Family Values,1993,6.6,Comedy,NA,48919043
Scott Pilgrim Vs. The World,2010,7.5,Comedy,60000000,31494270
The Big Lebowski,1998,8.2,Comedy,15000000,17439163
Love Actually,2003,7.7,Comedy,45000000,59365105
Dazed and Confused,1993,7.7,Comedy,6900000,7993039
Not Another Teen Movie,2001,5.7,Comedy,16000000,37882551
Austin Powers: International Man of Mystery,1997,7,Comedy,17000000,53868030
The Sandlot,1993,7.8,Comedy,NA,32416586
The DUFF,2015,6.6,Comedy,8500000,34017854
Kick-Ass,2010,7.7,Comedy,30000000,48043505
